,Name,Price,Seller,Cities,Product sold,Product rating
52,Paket Isi 4 Cuanki Instan Lakoca Original dan Lakoca Xtra Pedas,64.906,Lakoca Official Shop,Cimahi,70,4.9
53,KRIPIK BASRENG STICK CIKRUH / KERIPIK BAKSO GORENG STIK ORIGINAL  - 100 gr,6.6,TOKO SNACK JAKARTA HENDI,Jakarta Timur,1000,4.9
54,Omiyago Snack Kerupuk Seblak,6.02,omiyago,Jakarta Barat,30,4.8
55,Cuanki Kriboow bundling 5pcs,63.5,Khay N khai,Bekasi,100,5.0
56,kerupuk seblak mentah orange 250gr,11.5,BuyungBumbu,Jakarta Pusat,60,4.9
57,Seblak instan,11.0,Ghery Durian Shop,Jakarta Timur,90,4.9
58,Sabring kerupuk seblak jablay pedas Jumbo,14.0,RIKI STORE 97,Kab. Bogor,20,4.8
59,kerupuk seblak mentah kerupuk bawang 250gr,11.9,BuyungBumbu,Jakarta Pusat,70,4.8
60,kerupuk seblak kering pedas 500 gr hot spicy keripik enak,22.0,JAGO TOK PETOK,Surabaya,100,4.9
61,SEBLAK GEPREK SAMIRAOS / SEBLAK MIE / SEBLAK SOUN / SEBLAK INSTAN,17.85,TOBELO SHOP,Tangerang,100,4.8
62,Kylafood Mix Pentol Kuah dan Seblak Original,50.0,kylafood,Bandung,10,5.0
63,Kerupuk Sari  Udang Mentah 250gr/Kerupuk Seblak,5.5,Sin Nana,Semarang,4,5.0
64,kerupuk seblak kering kecil / kerupuk seblak pedas,5.0,Tasya chocolate,Tangerang Selatan,14,0.0
65,SIOMAY MINI KERING 250 GRAM BASO ACI/BOCI/SEBLAK/CUANKI/CUANKIE,9.999,ArfaOnlineShop,Tangerang,80,4.9
66,SEBLAK MIE 10 PCS PAKET HEMAT MAKANAN INSTAN food pedas,44.999,gudangsnacktgr19,Kab. Tangerang,0,0.0
67,Cireng Bumbu Rujak - Rujak Cireng Utami Isi 20,9.999,Pengisi Perut,Kab. Bekasi,4000,4.6
68,Seblak Bandung Frozen 140gr,18.6,Freezy Fresh,Jakarta Pusat,100,4.7
69,cireng rujak brecxelle | Cireng Bumbu Rujak | Frozen Food,14.935,Ayesha Frozen Food_,Jakarta Selatan,60,5.0
70,keripik seblak pedas putih,18.0,Snack Zone Official,Jakarta Selatan,70,4.9
71,kerupuk seblak bantat kriwil syahrini 250gr oleh oleh bandung,19.0,SIMANALAGI-KOSAMBI-BANDUNG,Bandung,100,4.9
72,kerupuk bawang spesial seblak nasi uduk 1/2kg 500gr grosir murah,10.0,Ekosistem Halal,Depok,30,4.7
73,Seblak MOMMY Cemilan yang Luar Biasa,11.4,ErJu,Bandung,10000,4.7
74,kerupuk seblak kering enak gurih,5.0,RIKI STORE 97,Kab. Bogor,250,4.8
75,KERUPUK SEBLAK SEBRING PEDAS KILOAN,84.55,Golden Cakery,Jakarta Pusat,26,5.0
76,Seblak Kering Pedas mbakWell Rasa Mantap Bikin NAGIH,315.0,Welly Mart,Tangerang Selatan,0,0.0
77,cuanki lidah aci 10 pcs murah toping seblak baso aci,3.5,CuankiCulametan,Kab. Garut,70,5.0
78,cuanki instan sehot,9.0,cemilan Bandungstore,Cimahi,250,4.9
79,Cuanki Pangsit kering Segitiga Cipet isi 100 toping seblak baso aci,31.0,CuankiCulametan,Kab. Garut,40,4.6
80,SEBLAK KICIMPRING MANG MUSS,9.999,Seblak Mang Muss,Tasikmalaya,750,4.8
81,Cabe bubuk special baso aci & seblak,11.999,aghniya,Tangerang Selatan,250,4.9
82,Cemilan Kerupuk Seblak Pedas Cemilan Imon 100Gr,15.0,Moenero,Kab. Tangerang,13,5.0
83,SEBLAK MELET AQILLAH FROZEN,6.5,Lapak Al Fattah Malang,Malang,17,5.0
84,ANEKA BAHAN SEBLAK/MAKARONI/KERUPUK SEBLAK MENTAH @500gr,10.0,sansay327,Tangerang Selatan,70,5.0
85,"termurah cuanki lidah khas garut, toping baso aci & seblak @50pcs",20.5,sansay327,Tangerang Selatan,30,5.0
86,kerupuk seblak pedas 1 kg / kerupuk seblak,35.625,Adila_Putri_Snack,Kab.Ciamis,100,4.8
87,cuanki lidah 50 pcs enak toping seblak baso aci,12.999,CuankiCulametan,Kab. Garut,250,4.9
88,PANGSIT SEBLAK BUMBU BASAH,8.5,RIKI STORE 97,Kab. Bogor,9,5.0
89,kerupuk seblak tatangga viral Rafael pedas daun jeruk kencur renyah,10.0,MRA souvenir Ultah,Jakarta Timur,0,0.0
